Code,Omschrijving,Familienaam,Familie,Voorraad Begin,Commentaar,Cat. 1,Cat. 2,Cat. 3,"Prijs
Verlies of
kapot",,Invulsheet,,,,,
611,Geld biljetten scanner,Bureelmateriaal,11,1,,- € ,- € ,- € ,,,Err:508,,,,,
612,Vlaggen jeugdraad,Allerlei,16,16,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
613,Spandoek Jeugdraad,Allerlei,16,3,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
614,Oordoppen,Allerlei,16,4750,, €0.15 , €0.15 , €0.15 ,0.15 € ,,Err:508,,,,,
615,Toegangsbandjes,Bureelmateriaal,11,10000,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,420.00 € ,,Err:508,,,,,
616,Rubberen matten,Allerlei,16,3,,,,,,,Err:508,,,,,
617,Aperitieftafelhoes,Allerlei,16,10,1 onderste hoes te kort,,,,,,Err:508,,,,,
618,Tangen voor toegangsbandjes,Allerlei,16,2,,,,,,,Err:508,,,,,
619,Banner - Alcohol +16,Allerlei,16,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
620,Toegangsbandjes guest & artist,Allerlei,16,4000,enkel voor jeugdraadwerkgroepen,,,,,,,,,,,
621,Witte Wijn,Drank,17,0,,,,,,,,,,,,
622,Rosé Wijn,Drank,17,0,,,,,,,,,,,,
623,Mojito,Drank,17,0,,,,,,,,,,,,
624,Vodka Wit,Drank,17,0,,,,,,,,,,,,
625,Vodka Rood,Drank,17,0,,,,,,,,,,,,
626,Cola,Drank,17,0,,,,,,,,,,,,
627,Cola Zero,Drank,17,0,,,,,,,,,,,,
628,Cola Light,Drank,17,0,,,,,,,,,,,,
629,Fanta,Drank,17,0,,,,,,,,,,,,
630,Water plat,Drank,17,0,,,,,,,,,,,,
631,Water bruis,Drank,17,0,,,,,,,,,,,,
632,Bier,Drank,17,0,,,,,,,,,,,,
633,Fruitsap,Drank,17,10,,,,,,,,,,,,
700,Snelbinder small (per 100),Gereedschap,10,74,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
701,Snelbinder breed (per 100),Gereedschap,10,40,,,,,,,,,,,,
702,Zeepkist - meetinstallatie bakken,Zeepkist materiaal,13,3,,,,,,,Err:508,,,,,
703,Zeepkist - meetkoffer,Zeepkist materiaal,13,1,,,,,,,Err:508,,,,,
704,Zeepkist - zwaailicht,Zeepkist materiaal,13,3,,,,,,,Err:508,,,,,
705,Zeepkist - UTP kabel,Zeepkist materiaal,13,1,,,,,,,Err:508,,,,,
706,Zeepkist - aansluitsnoeren,Zeepkist materiaal,13,3,,,,,,,Err:508,,,,,
707,Zeepkist - blauwe kabel op rol,Zeepkist materiaal,13,1,,,,,,,Err:508,,,,,
708,Dweil,Kuismateriaal,7,4,,,,,,,Err:508,,,,,
709,schuurspons metaal,Kuismateriaal,7,1,,,,,,,Err:508,,,,,
710,Spons,Kuismateriaal,7,7,,,,,,,Err:508,,,,,
711,Vochtige doekjes,Kuismateriaal,7,2,,,,,,,Err:508,,,,,
712,Trekker hand,Kuismateriaal,7,1,,,,,,,Err:508,,,,,
713,Schotelvod,Kuismateriaal,7,3,,,,,,,Err:508,,,,,
714,Luchtverfrisser,Kuismateriaal,7,1,,,,,,,Err:508,,,,,
715,Insectenspray,Kuismateriaal,7,1,,,,,,,Err:508,,,,,
716,afwasmiddel,Kuismateriaal,7,2,,,,,,,Err:508,,,,,
717,vloeibare zeep,Kuismateriaal,7,4,,,,,,,Err:508,,,,,
718,wasknijpers,Kuismateriaal,7,72,,,,,,,Err:508,,,,,
719,Trekker (zonder steel),Kuismateriaal,7,3,,,,,,,Err:508,,,,,
720,schuurborstel (zonder steel),Kuismateriaal,7,2,,,,,,,Err:508,,,,,
721,Borstel (zonder steel),Kuismateriaal,7,4,,,,,,,Err:508,,,,,
722,Handveger,Kuismateriaal,7,1,,,,,,,Err:508,,,,,
723,Plak emmer,Kuismateriaal,7,2,,,,,,,Err:508,,,,,
724,Plak borstel,Kuismateriaal,7,6,,,,,,,Err:508,,,,,
725,Emmer,Kuismateriaal,7,12,,,,,,,Err:508,,,,,
726,Papier op rol,Kuismateriaal,7,2,,,,,,,Err:508,,,,,
727,WC papier,Kuismateriaal,7,26,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
728,Keukenpapier,Kuismateriaal,7,7,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
729,Schminck - Rood,Allerlei,16,1,,,,,,,Err:508,,,,,
730,Schminck - Blauw,Allerlei,16,1,,,,,,,Err:508,,,,,
731,Schminck - Wit,Allerlei,16,1,,,,,,,Err:508,,,,,
732,Wattenschijfjes,Allerlei,16,1,,,,,,,Err:508,,,,,
733,Wattenbolletjes,Allerlei,16,200,,,,,,,Err:508,,,,,
734,Haarlak,Allerlei,16,1,,,,,,,Err:508,,,,,
735,Staalkabel met lussen (klein),Klimmateriaal,3,10,,,,,,,Err:508,,,,,
736,Staalkabel met lussen (groot),Klimmateriaal,3,2,,,,,,,Err:508,,,,,
737,Perfax,Allerlei,16,1,,,,,,,Err:508,,,,,
738,Vlieggemepper,Allerlei,16,1,,,,,,,,,,,,
739,Schminck - Geel,Allerlei,16,1,,,,,,,,,,,,
740,Schminck - Groen,Allerlei,16,1,,,,,,,,,,,,
800,Parachute,Sportmateriaal,8,1,,- € ,1.00 € ,2.50 € ,- € ,,Err:508,,,,,
801,Verkeerskegels H 50cm,Allerlei,16,3,,,,,,,Err:508,,,,,
802,Verkeerskegels H 22cm,Allerlei,16,4,,,,,,,Err:508,,,,,
803,Verkeerskegels H 32cm,Allerlei,16,9,,,,,,,Err:508,,,,,
804,Belletax - Borden,Belletax,15,17,,,,,,,Err:508,,,,,
805,Voetpomp,Allerlei,16,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
806,Fietspomp,Allerlei,16,4,,,,,,,Err:508,,,,,
807,Discus,Sportmateriaal,8,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
808,Balpomp,Sportmateriaal,8,0,,,,,,,Err:508,,,,,
809,Frisbee,Sportmateriaal,8,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
810,knikkers,Sportmateriaal,8,16,,,,,,,Err:508,,,,,
811,Badmintonracket,Sportmateriaal,8,26,,- € ,- € ,- € ,- € ,,Err:508,,,,,
812,Badmintonpluim,Sportmateriaal,8,14,,- € ,- € ,- € ,- € ,,Err:508,,,,,
813,Beach balplank,Sportmateriaal,8,32,,- € ,- € ,- € ,- € ,,Err:508,,,,,
814,Beachbalbal,Sportmateriaal,8,8,,- € ,- € ,- € ,- € ,,Err:508,,,,,
815,Jute zakken,Sportmateriaal,8,36,,- € ,- € ,- € ,- € ,,Err:508,,,,,
816,Rood-wit lint,Sportmateriaal,8,16,,- € ,- € ,- € ,- € ,,Err:508,,,,,
817,Toeter (handmatig),Sportmateriaal,8,2,,,,,,,Err:508,,,,,
818,Toeter (fles),Sportmateriaal,8,9,,,,,,,Err:508,,,,,
819,Tennisbal,Sportmateriaal,8,25,,- € ,- € ,- € ,- € ,,Err:508,,,,,
820,Golfbal,Sportmateriaal,8,2,,,,,,,Err:508,,,,,
821,Mousse bal,Sportmateriaal,8,3,,,,,,,Err:508,,,,,
822,Baseballbal,Sportmateriaal,8,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
823,Baseballbat,Sportmateriaal,8,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
824,Baseballhandschoen,Sportmateriaal,8,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
825,Petanque (set van 8 ballen),Sportmateriaal,8,4,,- € ,- € ,- € ,- € ,,Err:508,,,,,
826,Fiets binnenband,Sportmateriaal,8,64,,,,,,,Err:508,,,,,
827,PingPong pallet,Sportmateriaal,8,10,,,,,,,Err:508,,,,,
828,Finish vlag,Sportmateriaal,8,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
829,PingPong Bal,Sportmateriaal,8,41,,,,,,,Err:508,,,,,
830,Springbal,Sportmateriaal,8,1,,,,,,,Err:508,,,,,
831,PingPong Net,Sportmateriaal,8,1,,,,,,,Err:508,,,,,
832,Boxhandschoenen,Sportmateriaal,8,2,,,,,,,Err:508,,,,,
833,Legernetten,Kampeermateriaal,9,14,,- € ,- € ,- € ,- € ,,Err:508,,,,,
834,Belletax - truitjes,Sportmateriaal,8,19,,,,,,,Err:508,,,,,
835,Boxhandschoenen (XXL),Sportmateriaal,8,6,,,,,,,Err:508,,,,,
836,Stoepkrijt (doos),Sportmateriaal,8,5,,,,,,,Err:508,,,,,
837,Stopwatch,Sportmateriaal,8,7,,,,,,,Err:508,,,,,
838,Vogelpiek (set),Sportmateriaal,8,4,,- € ,- € ,- € ,- € ,,Err:508,,,,,
839,Reiswekker,Sportmateriaal,8,3,,,,,,,Err:508,,,,,
840,Rolmeter L 30m,Sportmateriaal,8,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
841,Rolmeter L60m,Sportmateriaal,8,1,,,,,,,Err:508,,,,,
842,Pedalo,Sportmateriaal,8,4,,,,,,,Err:508,,,,,
843,Hockeystick (Geel),Sportmateriaal,8,28,,- € ,- € ,- € ,- € ,,Err:508,,,,,
844,Hockeystick (Rood),Sportmateriaal,8,33,,,,,,,Err:508,,,,,
845,Belletax - karnummers,Belletax,15,42,,,,,,,Err:508,,,,,
846,Gasvuurtjes,Kampeermateriaal,9,3,,,,,,,Err:508,,,,,
847,Gas voor gasvuurtjes,Kampeermateriaal,9,4,,,,,,,Err:508,,,,,
848,Brandvloeistof,Kampeermateriaal,9,2,,,,,,,Err:508,,,,,
849,Tuinslang met gardena koppeling,Allerlei,16,3,,,,,,,Err:508,,,,,
850,Tuinslang,Allerlei,16,3,,,,,,,Err:508,,,,,
851,Tuinslang koppeling 3-weg,Allerlei,16,1,,,,,,,Err:508,,,,,
852,Tuinslang koppeling 2-weg,Allerlei,16,2,,,,,,,Err:508,,,,,
853,Tuinslang spuitkop,Allerlei,16,4,,,,,,,Err:508,,,,,
854,Tuinslang koppeling vrouwtje,Allerlei,16,5,,,,,,,Err:508,,,,,
855,Tuinslang koppeling mannetje,Allerlei,16,3,,,,,,,Err:508,,,,,
856,Groene lus 2T (5m),Allerlei,16,3,,,,,,,,,,,,
857,Groene lus 2T (3m),Allerlei,16,5,,,,,,,,,,,,
858,Groene lus 2T (1.5m),Allerlei,16,2,,,,,,,,,,,,
859,Paarse lus 1T,Allerlei,16,6,,,,,,,,,,,,
860,Infoborden Nooduitgang,Allerlei,16,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
861,Infoborden WC,Allerlei,16,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
862,Infoborden Uitgang,Allerlei,16,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
863,Infoborden Ingang,Allerlei,16,1,,,,,,,Err:508,,,,,
864,Infoborden bonnetjes,Allerlei,16,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
900,Houten wegwijzers,Allerlei,16,67,,- € ,- € ,- € ,- € ,,Err:508,,,,,
901,Reclame bordjes,Allerlei,16,12,,,,,,,Err:508,,,,,
902,Wegwijzers LBF,Allerlei,16,50,,,,,,,,,,,,
903,Wegwijzers SF,Allerlei,16,18,,,,,,,,,,,,
904,Vlaggen LBF,Allerlei,16,6,,,,,,,,,,,,
905,Banner - Nooduitgang ,Allerlei,16,4,,,,,,,,,,,,
906,Banner - Speechless Festival - Logo,Allerlei,16,5,,,,,,,,,,,,
907,Banner - Lollipop Beach Festival - Logo,Allerlei,16,5,,,,,,,,,,,,
908,Banner - Speechless Festival - Stagebanner,Allerlei,16,2,,,,,,,,,,,,
909,Banner - Lollipop Beach Festival - Stage overkapping + Logo,Allerlei,16,1,,,,,,,,,,,,
910,Banner - Lollipop Beach Festival - Stage zwart,Allerlei,16,12,,,,,,,,,,,,
911,Banner - Lollipop Beach Festival - Stage blauw,Allerlei,16,12,,,,,,,,,,,,
912,Banner - Lollipop Beach Festival - Stage rood,Allerlei,16,20,,,,,,,,,,,,
913,Banner - Lollipop Beach Festival - Stage rood met logo,Allerlei,16,4,,,,,,,,,,,,
914,Banner - Crew & Artist banner,Allerlei,16,1,,,,,,,,,,,,
915,Banner - Thank you banner,Allerlei,16,1,,,,,,,,,,,,
916,Banner - Kleine banners SF,Allerlei,16,8,,,,,,,,,,,,
917,Banner - Kleine banners LBF,Allerlei,16,10,,,,,,,,,,,,
918,Banner - Ronde banner JIM,Allerlei,16,1,,,,,,,,,,,,
919,Banner - Lange banner JIM,Allerlei,16,1,,,,,,,,,,,,
920,Banner - kerstboomverbranding,Allerlei,16,1,,,,,,,,,,,,
999,Betaling waarborg 125€,Allerlei,16,1,,- € ,125.00 € ,125.00 € ,125.00 € ,,Err:508,,,,,
1000,Balpennen,Bureelmateriaal,11,1000,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1001,Stempel 'betaald',Bureelmateriaal,11,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1002,Stempelkussen blauwe inkt,Bureelmateriaal,11,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1003,Stempel 'jeugdraad',Bureelmateriaal,11,3,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
1004,Datumstempel,Bureelmateriaal,11,0,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1005,Stempelinkt blauw,Bureelmateriaal,11,2,,,,,,,Err:508,,,,,
1006,Stempelinkt UV,Bureelmateriaal,11,4,,,,,,,Err:508,,,,,
1007,Stempelinkt zwart,Bureelmateriaal,11,2,,,,,,,Err:508,,,,,
1008,Stempelinkt rood,Bureelmateriaal,11,2,,,,,,,Err:508,,,,,
1009,Stempelkussen UV inkt,Bureelmateriaal,11,5,,,,,,,Err:508,,,,,
1010,Stempelkussen zwarte inkt,Bureelmateriaal,11,1,,,,,,,Err:508,,,,,
1011,Stempelkussen rode inkt,Bureelmateriaal,11,2,,,,,,,Err:508,,,,,
1012,Plakband - doorzichtig groot smal,Allerlei,16,100,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1013,Plakband - doorzichtig groot breed,Allerlei,16,0,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1014,Plakband - doorzichtig klein,Allerlei,16,10,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1015,Plakband - ducktape,Allerlei,16,1,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1016,Plakband - elektriciteit smal,Allerlei,16,15,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1017,Plakband - elektriciteit breed,Allerlei,16,5,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1018,Plakband - Fluo,Allerlei,16,3,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1019,Plakband - Gaffa,Allerlei,16,26,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1020,Plakband - papier groot breed,Allerlei,16,1,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1021,Plakband - papier groot smal,Allerlei,16,15,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
1022,Plakband - bruin breed,Allerlei,16,37,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1023,Plakker toestel,Allerlei,16,1,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1024,Plakband houders,Allerlei,16,1,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1025,Polybag sealer,Allerlei,16,1,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1026,Polybag plakkers,Allerlei,16,11,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1027,Bonnetjes - Rol enkel,Allerlei,16,3,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
1028,Bonnetjes - dubbele bonnetjes,Allerlei,16,7,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
1029,Bonnetjes - Bacardi,Allerlei,16,2000,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
1030,Ontvangstboekje,Bureelmateriaal,11,4,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
1100,Bahut Bakfrigo,Elektrischmateriaal,4,3,,,,10.00 € ,420.00 € ,,Err:508,,,,,
1101,Aperitieftafel hoog,Allerlei,16,10,"Hoogte 1,2m",,,5.00 € ,,,Err:508,,,,,
1103,Barstoel,Allerlei,16,6,,,,,,,Err:508,,,,,
1104,Noodverlichting,Elektrischmateriaal,4,10,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1105,Diepvries,Allerlei,16,1,,,,,,,Err:508,,,,,
1106,Klaptafels,Kampeermateriaal,9,2,,,,,,,Err:508,,,,,
1107,Aperitieftafel laag,Allerlei,16,6,Hoogte 1m,,,,,,Err:508,,,,,
1108,Wastafel,Allerlei,16,2,,,,,,,Err:508,,,,,
1109,Boiler op propaangas,Kampeermateriaal,9,1,Grote gasfles,,,,,,Err:508,,,,,
1110,Thalassa lichten,Allerlei,16,4,Met balast,,,,,,Err:508,,,,,
1111,Oven,Allerlei,16,3,,,,,,,Err:508,,,,,
1112,Circustent - Gele spanriemen,Kampeermateriaal,9,20,,,,,,,Err:508,,,,,
1113,Circustent - Blauwe smalle spanriemen,Kampeermateriaal,9,3,,,,,,,Err:508,,,,,
1114,Circustent - Blauwe brede spanriemen,Kampeermateriaal,9,5,,,,,,,Err:508,,,,,
1115,Circustent - Gele spanners,Kampeermateriaal,9,20,,,,,,,Err:508,,,,,
1116,Circustent - Blauwe smalle spanners,Kampeermateriaal,9,5,,,,,,,Err:508,,,,,
1117,Circustent - Blauwe brede spanners,Kampeermateriaal,9,4,,,,,,,Err:508,,,,,
1118,Circustent - piketten,Kampeermateriaal,9,42,,,,,,,Err:508,,,,,
1119,Circustent - Oranje spanriemen,Kampeermateriaal,9,4,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1120,Circustent - Oranje spanners,Kampeermateriaal,9,3,,,,,,,Err:508,,,,,
1121,Statief voor citerne,Kampeermateriaal,9,1,,,,,,,Err:508,,,,,
1122,Frituur op gas + schepnet + thermometer,Allerlei,16,1,"3 potten, heeft nood aan Grote gasfles",,,,,,Err:508,,,,,
1123,Thalassa licht beugel,Allerlei,16,1,,,,,,,,,,,,
1124,Circustent - Zwarte spanriem met spanner,Kampeermateriaal,9,1,,,,,,,,,,,,
1200,Rode loper,Allerlei,16,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1201,Jeton emmer,Allerlei,16,9,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1202,Jeton emmer - dekstel,Allerlei,16,10,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1203,Jeton emmer - buis,Allerlei,16,9,,,,,,,Err:508,,,,,
1204,Scheurdoek,Allerlei,16,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1205,Zwarte Loper,Allerlei,16,2,,,,,,,Err:508,,,,,
1206,Doorzichtige plastiek - rol,Allerlei,16,1,,,,,,,Err:508,,,,,
1207,Bekerdrager (6),Allerlei,16,140,,,,,,,Err:508,,,,,
1208,Kleerhangers,Allerlei,16,150,,,,,,,Err:508,,,,,
1209,Herasbeschermers,Allerlei,16,17,,,,,,,Err:508,,,,,
1210,Looplatten,Sportmateriaal,8,32,,,,,,,Err:508,,,,,
1211,Kampeerstoel,Kampeermateriaal,9,3,,,,,,,Err:508,,,,,
1212,Tuinstoel,Kampeermateriaal,9,8,,,,,,,Err:508,,,,,
1213,Tuinstoel kussen,Kampeermateriaal,9,8,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1214,Tuintafel,Kampeermateriaal,9,7,,,,,,,Err:508,,,,,
1215,Parasol,Kampeermateriaal,9,10,,,,,,,Err:508,,,,,
1216,Alu uitschuifbare vlaggenmast,Allerlei,16,10,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1217,Alu uitschuifbare vlaggenmast - voet,Allerlei,16,10,,,,,,,Err:508,,,,,
1218,Alu uitschuifbare vlaggenmast - gewicht,Allerlei,16,7,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1219,Plastiek bekers (per 100) - Bier,Allerlei,16,17000,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1220,Kartonnen bekers (per 100) - Cola,Allerlei,16,2200,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,420.00 € ,,Err:508,,,,,
1221,Plastiek bekers (per 100) - Neutraal,Allerlei,16,3000,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1222,Plastiek bekers (per 100) - Duvel,Allerlei,16,500,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1223,Plastiek bekers (per 100) - Eristoff,Allerlei,16,1000,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1224,Plastiek bekers (per 20) - Champagne,Allerlei,16,0,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1225,Plastiek bekers (per 100) - Neutraal (10 cl),Allerlei,16,0,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1226,Plastiek bekers (per 100) - Neutraal (5 cl),Allerlei,16,1400,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1227,Isomo bekers (per 100),Allerlei,16,0,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1228,Bidons / Jerrycans,Allerlei,16,41,,,,,,,Err:508,,,,,
1229,Nadar bar elementen,Allerlei,16,13,,,,,,,Err:508,,,,,
1230,Microgolf,Kookmateriaal,1,1,,,,,,,Err:508,,,,,
1231,Oven (tafel model),Kookmateriaal,1,1,,,,,,,Err:508,,,,,
1232,Kippengaas,Allerlei,16,1.5,,,,,,,Err:508,,,,,
1233,Ventilator,Allerlei,16,1,,,,,,,Err:508,,,,,
1234,Bachen (zwart/wit),Allerlei,16,3,,,,,,,Err:508,,,,,
1238,Paintball - Afschermnet,Paintball materiaal,12,1,,,,,,,,,,,,
1300,Window cooler,Elektrischmateriaal,4,4,,,,10.00 € ,420.00 € ,,Err:508,,,,,
1301,Curverbox groot,Allerlei,16,5,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1302,Curverbox groot Deksel,Allerlei,16,5,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1303,Curverbox klein,Allerlei,16,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1304,Curverbox klein Deksel,Allerlei,16,4,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1305,Gasfles klein,Kampeermateriaal,9,4,,10.00 € ,10.00 € ,10.00 € ,150.00 € ,,Err:508,,,,,
1306,Gasfles groot,Kampeermateriaal,9,9,,10.00 € ,10.00 € ,10.00 € ,150.00 € ,,Err:508,,,,,
1307,Bosch radio - CD,Elektrischmateriaal,4,4,,,,10.00 € ,180.00 € ,,Err:508,,,,,
1308,Broodmanden,Allerlei,16,0,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1309,EHBO tas,Allerlei,16,1,,,,,,,Err:508,,,,,
1310,Plooibak,Allerlei,16,1,,,,,,,Err:508,,,,,
1311,Keukenhanddoeken,Kookmateriaal,1,30,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
1312,Kniptang,Gereedschap,10,28,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1313,Ladder,Allerlei,16,2,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
1314,Trekker groot,Kuismateriaal,7,7,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1315,Veegborstel groot,Kuismateriaal,7,4,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1316,Veegborstel klein,Kuismateriaal,7,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1317,Veegborstel schuur,Kuismateriaal,7,2,,,,,,,Err:508,,,,,
1318,Bezem,Kuismateriaal,7,2,,,,,,,Err:508,,,,,
1319,Zandschop,Allerlei,16,3,,,,,,,Err:508,,,,,
1320,Spade,Allerlei,16,0,,,,,,,Err:508,,,,,
1322,Trekker klein,Kuismateriaal,7,2,,,,,,,Err:508,,,,,
1323,Materiaalbak,Gereedschap,10,1,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1324,Boormachine,Gereedschap,10,1,enkel voor jeugdraadwerkgroepen,,,,,,,,,,,
1325,Schraag tafel,Allerlei,16,1,,,,,,,,,,,,
1326,Schragen voor Schraag tafel,Allerlei,16,2,,,,,,,,,,,,
1327,Sneeuwschop,Kuismateriaal,7,2,,,,,,,,,,,,
1400,Aanhangwagen,Allerlei,16,1,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
1401,Citerne 1000L voor drinkwater,Kampeermateriaal,9,2,,- € ,1.00 € ,2.50 € ,150.00 € ,,Err:508,,,,,
1402,Aanhangwagen wielstop,Allerlei,16,1,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
1403,Aanhangwagen oprijplaten,Allerlei,16,2,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
1404,Olievaten,Allerlei,16,22,,,,,,,Err:508,,,,,
1405,Autobanden,Allerlei,16,40,,,,,,,Err:508,,,,,
1406,Planken Wim,Allerlei,16,40,,,,,,,Err:508,,,,,
1407,Palleten,Allerlei,16,13,,,,,,,Err:508,,,,,
1408,Olievaten plastiek,Allerlei,16,7,,,,,,,Err:508,,,,,
1500,Warmte paddestoelen op gas,Allerlei,16,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1501,Vuurkorf,Allerlei,16,5,,- € ,- € ,- € ,- € ,,Err:508,,,,,
1502,Circustent - 10 x 15 meter,Kampeermateriaal,9,3,,- € ,- € ,- € ,"2,500.00 € ",,Err:508,,,,,
1503,Circustent - palen (klein),Kampeermateriaal,9,28,,,,,,,Err:508,,,,,
1504,Circustent - piketten,Kampeermateriaal,9,45,,,,,,,Err:508,,,,,
1505,Circustent - palen (groot),Kampeermateriaal,9,2,,,,,,,Err:508,,,,,
1506,Circustent - nok balk,Kampeermateriaal,9,1,,,,,,,Err:508,,,,,
1507,Circustent - spanriemen,Kampeermateriaal,9,0,,,,,,,Err:508,,,,,
1508,Circustent - vloer,Kampeermateriaal,9,20,,,,,,,Err:508,,,,,
1510,Shelter - zeil,Shelter,14,1,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
1511,Shelter - palen,Shelter,14,13,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1512,Shelter - piketten,Shelter,14,15,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1513,Shelter - spankoorden (3 touwen en 4 musketons),Shelter,14,8,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1514,Shelter - spankoorden (lang met musketon),Shelter,14,4,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1515,Shelter - spankoorden (lang),Shelter,14,12,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1516,Shelter - spankoorden (kort met musketon),Shelter,14,6,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1517,Shelter - spankoorden (kort),Shelter,14,2,enkel voor jeugdraadwerkgroepen,,,,,,Err:508,,,,,
1518,Verkooptafels met ledarmatuur,Allerlei,16,2,,- € ,2.50 € ,5.00 € ,- € ,,Err:508,,,,,
