Code,Omschrijving,Familienaam,Familie,Voorraad Begin,Commentaar,Cat. 1,Cat. 2,Cat. 3,"Prijs
Verlies of
kapot",,Invulsheet,,,,,
238,Houten spatel groot,Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
239,Houten spatel klein,Kookmateriaal,1,6,,,,,,,Err:508,,,,,
240,Houten knijptang,Kookmateriaal,1,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
241,Pottenlekkers,Kookmateriaal,1,8,,- € ,- € ,- € ,- € ,,Err:508,,,,,
242,Groententang,Kookmateriaal,1,7,,- € ,- € ,- € ,- € ,,Err:508,,,,,
243,Pannenkoekenspatel,Kookmateriaal,1,5,,- € ,- € ,- € ,- € ,,Err:508,,,,,
244,Panspatel,Kookmateriaal,1,5,,- € ,- € ,- € ,- € ,,Err:508,,,,,
245,"Pollepel 1,0L",Kookmateriaal,1,4,,,,,,,Err:508,,,,,
246,"Pollepel 0,10L",Kookmateriaal,1,1,,,,,,,Err:508,,,,,
247,"Pollepel 0,15L",Kookmateriaal,1,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
248,"Pollepel 0,5L",Kookmateriaal,1,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
249,"Pollepel 0,2L",Kookmateriaal,1,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
250,"Pollepel 0,25L",Kookmateriaal,1,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
251,Panspatel groot,Kookmateriaal,1,4,,,,,,,Err:508,,,,,
252,Schuimspaan n°10,Kookmateriaal,1,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
253,Schuimspaan n°14,Kookmateriaal,1,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
254,Schuimspaan n°16,Kookmateriaal,1,3,,- € ,- € ,- € ,- € ,,Err:508,,,,,
255,Plateau,Eetmateriaal,2,15,,,,,,,Err:508,,,,,
